team,offense,defense,tempo,luck,margin,schedule_margin,opponent_offense,opponent_defense,non_conference,conf,year
Duke,121.0,86.8,74.5,-.027,34.19,9.87,109.3,99.5,6.66,ACC,2002
Cincinnati,118.1,87.9,67.4,.002,30.19,6.58,106.5,100.0,3.48,CUSA,2002
Maryland,119.2,89.9,73.7,.025,29.25,9.88,109.4,99.5,1.62,ACC,2002
Kansas,118.7,89.7,77.3,.022,28.99,10.67,110.5,99.9,8.32,B12,2002
Oklahoma,114.9,88.9,66.5,.043,26.04,8.77,109.2,100.4,-0.44,B12,2002
Indiana,114.0,89.2,65.6,-.049,24.80,14.12,111.1,96.9,13.54,B10,2002
Florida,115.1,90.4,69.6,-.073,24.72,9.11,108.3,99.2,-0.56,SEC,2002
Illinois,115.7,92.5,68.5,.016,23.21,10.60,110.0,99.4,6.79,B10,2002
Oregon,119.2,96.3,71.1,-.041,22.97,8.15,108.3,100.2,-3.30,P10,2002
Kentucky,113.4,91.2,68.0,-.029,22.21,12.97,110.3,97.4,6.75,SEC,2002
Marquette,113.4,91.9,64.6,.006,21.47,5.41,105.7,100.3,-2.87,CUSA,2002
USC,112.8,92.1,70.1,-.051,20.67,9.31,109.4,100.1,1.90,P10,2002
Arizona,119.3,98.8,71.1,.079,20.54,14.22,111.5,97.3,17.56,P10,2002
Kent,116.7,96.4,64.7,.008,20.39,3.11,106.3,103.2,2.99,MAC,2002
Stanford,116.6,96.3,69.5,-.020,20.32,10.33,110.4,100.1,2.10,P10,2002
Pittsburgh,112.1,92.2,63.8,.000,19.94,3.12,103.9,100.8,-12.07,BE,2002
Ohio St,116.4,96.6,66.8,.005,19.76,7.51,106.8,99.3,-1.26,B10,2002
Connecticut,112.2,92.8,68.7,.063,19.36,8.19,107.5,99.3,1.73,BE,2002
Notre Dame,116.1,96.8,68.6,-.087,19.27,7.34,105.6,98.3,-1.55,BE,2002
South Carolina,107.0,87.9,65.3,-.074,19.18,10.28,108.7,98.4,-0.78,SEC,2002
NC State,113.2,94.0,67.5,.012,19.15,8.28,108.8,100.6,-5.56,ACC,2002
Alabama,114.0,95.3,68.0,.076,18.73,8.59,107.4,98.8,-1.56,SEC,2002
Xavier,111.2,92.6,67.0,.051,18.60,5.10,106.9,101.8,5.37,A10,2002
Gonzaga,115.6,97.1,68.5,.049,18.51,1.13,104.0,102.8,4.04,WCC,2002
Georgia,116.7,98.3,69.2,-.021,18.44,9.88,108.3,98.4,3.30,SEC,2002
Mississippi St,111.4,93.1,67.9,.107,18.25,8.93,106.9,98.0,-0.96,SEC,2002
Texas,116.0,98.3,68.5,-.021,17.69,10.18,109.3,99.1,5.30,B12,2002
Butler,111.9,94.3,62.1,-.051,17.63,-1.43,103.3,104.7,-4.63,Horz,2002
Missouri,116.2,98.7,70.1,-.010,17.49,7.92,108.2,100.3,-0.39,B12,2002
Wake Forest,118.6,101.3,69.5,.006,17.35,11.24,109.3,98.1,5.85,ACC,2002
Texas Tech,114.6,97.4,69.8,.061,17.24,6.69,107.1,100.4,-0.13,B12,2002
Michigan St,113.0,96.2,63.3,-.026,16.86,9.76,108.7,99.0,1.50,B10,2002
Memphis,112.5,95.8,70.8,-.008,16.69,3.63,105.1,101.5,-1.69,CUSA,2002
Mississippi,113.3,96.7,64.7,-.040,16.68,7.32,106.1,98.8,-6.24,SEC,2002
UCLA,113.7,97.3,68.1,.048,16.34,12.00,110.3,98.3,8.58,P10,2002
Georgetown,110.6,94.5,71.1,-.094,16.13,5.31,105.2,99.9,-10.20,BE,2002
California,109.8,93.7,66.6,.088,16.03,7.89,108.1,100.2,-5.85,P10,2002
Oklahoma St,107.9,92.1,66.0,.047,15.80,7.11,108.1,101.0,0.53,B12,2002
Miami FL,110.5,94.7,69.1,.017,15.77,5.75,105.2,99.5,-5.04,BE,2002
Charlotte,114.2,98.5,66.8,-.008,15.73,9.24,107.5,98.3,6.49,CUSA,2002
Tulsa,116.0,100.4,69.5,.001,15.59,2.03,103.9,101.9,-1.44,WAC,2002
Dayton,112.9,97.4,66.6,-.042,15.53,2.83,104.7,101.9,1.31,A10,2002
Minnesota,113.5,99.0,68.9,-.045,14.54,7.29,107.6,100.3,1.34,B10,2002
WKU,110.5,96.0,67.5,.060,14.51,0.23,103.3,103.0,0.29,SB,2002
Utah,111.4,97.3,62.1,.010,14.08,5.38,106.4,101.0,1.57,MWC,2002
Iowa,110.4,96.8,69.0,-.060,13.66,8.62,108.5,99.9,1.48,B10,2002
Valparaiso,111.5,97.8,68.7,-.032,13.63,-1.66,103.2,104.8,2.06,MCon,2002
Temple,114.0,100.4,62.2,-.038,13.57,8.04,107.7,99.7,14.74,A10,2002
S Illinois,109.2,95.7,70.6,.034,13.45,2.12,105.4,103.3,3.16,MVC,2002
Wisconsin,110.7,97.5,63.3,.049,13.22,10.57,109.1,98.6,8.49,B10,2002
Hawaii,110.3,97.2,65.6,.007,13.15,-0.72,103.1,103.8,-9.70,WAC,2002
Villanova,106.7,93.5,67.3,-.055,13.14,6.67,106.7,100.1,-4.50,BE,2002
Virginia,112.0,99.1,69.4,-.017,12.92,8.00,108.1,100.1,-3.62,ACC,2002
Tennessee,110.9,98.2,66.7,-.044,12.67,12.03,108.9,96.8,5.36,SEC,2002
Ball St,113.3,100.6,69.1,.012,12.66,3.72,106.0,102.3,8.96,MAC,2002
Syracuse,106.1,93.5,69.4,-.005,12.61,6.13,105.8,99.7,-1.37,BE,2002
Arkansas,108.8,96.2,71.9,-.062,12.56,11.24,108.6,97.3,4.82,SEC,2002
Penn,110.2,98.0,65.6,-.019,12.23,-2.38,102.2,104.5,0.98,Ivy,2002
Creighton,111.3,99.5,66.9,.029,11.82,1.39,105.0,103.7,0.93,MVC,2002
Bowling Green,111.3,99.6,66.6,.021,11.76,2.13,105.9,103.7,0.85,MAC,2002
Louisville,108.1,96.4,72.6,.008,11.74,6.99,107.0,100.0,1.75,CUSA,2002
Pepperdine,111.1,99.3,72.4,.061,11.72,3.97,105.9,101.9,11.94,WCC,2002
BYU,109.2,97.7,65.4,-.045,11.55,5.74,107.0,101.2,3.23,MWC,2002
Louisiana Tech,110.0,98.6,66.3,.002,11.43,3.23,104.2,101.0,3.66,WAC,2002
UNC Wilmington,107.4,96.1,63.9,-.003,11.32,0.83,103.4,102.6,4.57,CAA,2002
LSU,105.4,94.3,64.9,-.048,11.10,6.88,106.6,99.7,-9.98,SEC,2002
Wyoming,107.8,96.7,69.0,.032,11.01,3.51,105.8,102.3,-5.47,MWC,2002
St Joseph's PA,114.4,103.6,67.7,-.009,10.81,4.73,106.6,101.9,5.02,A10,2002
Arizona St,108.6,98.1,71.7,-.090,10.54,7.95,108.7,100.7,-8.12,P10,2002
Georgia Tech,111.1,100.6,70.5,-.022,10.50,8.64,108.2,99.6,0.93,ACC,2002
Boston College,109.4,99.4,69.1,.040,9.97,6.41,105.5,99.1,-2.78,BE,2002
Tennessee Tech,109.9,100.4,67.2,.003,9.44,-2.73,103.6,106.4,3.01,OVC,2002
South Florida,107.9,98.4,71.8,.018,9.43,5.41,106.0,100.6,-0.09,CUSA,2002
San Diego St,106.9,97.6,70.0,.055,9.29,5.64,106.9,101.3,0.67,MWC,2002
Utah St,106.3,97.2,63.3,-.025,9.17,-2.19,102.6,104.8,-1.62,BW,2002
St John's,102.7,93.6,69.1,.089,9.06,6.40,106.7,100.3,-0.79,BE,2002
Santa Barbara,108.2,99.3,63.4,-.058,8.87,0.45,103.3,102.9,3.37,BW,2002
St Bonaventure,116.1,107.5,71.5,-.030,8.59,4.47,105.7,101.2,5.86,A10,2002
Col Charleston,105.0,96.6,62.1,-.041,8.41,-3.20,101.2,104.4,-6.61,SC,2002
Richmond,104.1,95.8,60.8,.069,8.31,4.71,106.4,101.7,5.10,A10,2002
UNLV,109.7,101.5,72.4,.068,8.26,4.23,105.8,101.5,-1.04,MWC,2002
Fresno St,104.4,96.5,72.4,-.025,7.82,4.84,106.4,101.5,5.93,WAC,2002
Purdue,109.8,102.2,68.0,-.059,7.60,8.98,108.4,99.4,5.06,B10,2002
Seton Hall,105.0,97.9,68.6,-.100,7.18,7.89,106.4,98.5,2.03,BE,2002
Vanderbilt,107.6,100.5,69.1,.060,7.14,8.44,107.5,99.0,-3.40,SEC,2002
St Louis,98.1,91.2,65.3,-.023,6.91,5.90,106.6,100.7,2.38,CUSA,2002
Colorado,111.3,104.6,71.9,-.027,6.78,6.35,106.9,100.6,-8.44,B12,2002
Auburn,98.6,92.0,70.1,-.049,6.61,8.17,107.3,99.1,-6.32,SEC,2002
ETSU,106.2,99.6,73.7,-.022,6.60,-0.28,102.6,102.9,2.71,SC,2002
Northwestern,99.9,93.4,61.6,.036,6.55,5.74,106.3,100.6,-5.39,B10,2002
UC Irvine,108.0,101.5,64.9,.015,6.47,-0.11,103.2,103.4,1.86,BW,2002
New Mexico,110.3,103.9,66.5,-.023,6.36,3.76,106.1,102.4,-2.87,MWC,2002
WI Milwaukee,104.8,98.5,71.5,-.088,6.28,1.98,105.7,103.8,5.89,Horz,2002
Providence,102.9,96.7,71.1,-.050,6.19,4.43,104.4,99.9,-4.67,BE,2002
UAB,102.5,96.4,67.7,-.143,6.18,2.74,104.7,102.0,-2.90,CUSA,2002
New Mexico St,109.3,103.4,68.3,-.029,5.87,-0.48,102.9,103.3,0.97,SB,2002
Ark Little Rock,106.8,101.1,69.1,-.063,5.75,-1.30,100.9,102.2,-4.07,SB,2002
Pacific,109.6,103.8,65.2,.002,5.74,-1.13,102.1,103.3,0.42,BW,2002
Washington,105.3,99.8,71.3,.010,5.44,12.08,111.0,98.9,7.60,P10,2002
McNeese St,103.2,97.8,66.2,.023,5.39,-4.60,99.8,104.4,12.81,Slnd,2002
San Diego,107.7,102.5,68.9,-.071,5.21,0.91,103.8,102.8,2.61,WCC,2002
Detroit,104.0,99.0,63.3,.051,5.01,2.37,105.2,102.9,3.03,Horz,2002
Nebraska,105.8,100.8,66.5,-.019,5.00,5.16,106.8,101.6,-6.48,B12,2002
Houston,108.7,103.7,66.0,.064,4.99,6.12,106.5,100.3,1.53,CUSA,2002
Rutgers,98.0,93.1,69.6,.038,4.87,2.78,104.0,101.2,-9.89,BE,2002
Baylor,108.2,103.5,68.3,-.090,4.69,4.23,106.2,102.0,-6.93,B12,2002
ULL,99.7,95.0,70.6,.054,4.63,0.18,102.8,102.6,-1.04,SB,2002
SMU,107.6,103.2,67.7,-.025,4.44,2.92,104.8,101.8,2.29,WAC,2002
Oral Roberts,105.4,101.0,69.4,-.076,4.33,-3.40,102.5,105.9,-2.49,MCon,2002
TCU,110.0,105.8,76.5,-.029,4.23,2.85,104.9,102.0,-2.37,CUSA,2002
UNC Greensboro,103.1,98.8,68.6,.054,4.21,-1.66,101.7,103.4,-3.79,SC,2002
Manhattan,104.6,100.4,68.9,-.018,4.18,-6.27,98.7,104.9,-7.83,MAAC,2002
Iowa St,108.1,103.9,65.2,-.115,4.16,4.72,106.1,101.4,-7.22,B12,2002
Missouri St,107.2,103.0,65.1,-.064,4.15,-0.34,104.0,104.3,-1.82,MVC,2002
Ohio,108.2,104.2,67.8,.033,4.09,0.07,105.9,105.8,-2.00,MAC,2002
Hampton,109.9,105.9,69.1,.013,3.99,-8.67,98.5,107.2,0.87,MEAC,2002
Marist,106.7,102.8,68.4,-.059,3.98,-5.53,99.4,105.0,-4.28,MAAC,2002
IL Chicago,108.9,105.0,67.5,.040,3.85,1.84,104.3,102.4,0.67,Horz,2002
Davidson,101.5,97.8,65.1,.142,3.70,1.79,104.5,102.7,9.43,SC,2002
Kansas St,104.0,100.3,65.9,-.005,3.67,5.86,108.0,102.1,-5.38,B12,2002
Florida St,105.8,102.3,68.3,-.054,3.54,7.79,108.1,100.3,-9.05,ACC,2002
VA Commonwealth,102.9,99.3,70.9,.010,3.53,-2.17,100.5,102.7,-2.10,CAA,2002
Nevada,103.9,100.5,71.6,.034,3.41,2.04,104.3,102.3,-1.94,WAC,2002
Oregon St,103.4,100.0,61.3,-.050,3.36,8.00,108.9,100.9,-5.43,P10,2002
Colorado St,103.8,100.5,66.5,-.110,3.34,4.28,106.4,102.1,-0.49,MWC,2002
Loyola-Chicago,103.5,100.3,69.5,.010,3.20,-0.59,104.3,104.9,-3.87,Horz,2002
Massachusetts,102.0,98.8,64.3,.002,3.17,5.05,107.3,102.2,6.49,A10,2002
Michigan,105.4,102.3,65.6,-.038,3.15,8.27,108.5,100.2,-0.43,B10,2002
Tulane,104.8,101.7,69.2,.041,3.07,6.18,105.9,99.7,2.95,CUSA,2002
W Michigan,107.6,104.6,66.9,.030,3.00,-0.17,104.6,104.8,1.10,MAC,2002
Montana St,107.4,104.4,63.5,.054,2.97,-2.30,102.4,104.7,1.71,BSky,2002
Clemson,107.3,104.4,69.4,-.038,2.94,4.80,106.0,101.2,-9.30,ACC,2002
George Mason,104.7,102.1,67.8,.078,2.67,-1.69,101.5,103.2,-0.92,CAA,2002
Wright St,110.9,108.3,65.2,.033,2.67,-2.09,102.6,104.7,-7.70,Horz,2002
Georgia St,107.8,105.2,69.6,.009,2.60,-3.40,103.1,106.5,5.05,ASun,2002
Ga Southern,107.0,104.5,74.4,-.051,2.55,-2.19,101.1,103.3,-5.58,SC,2002
North Carolina,105.8,103.2,70.0,-.065,2.53,11.37,110.3,98.9,1.78,ACC,2002
